team_id,venue_id,relationship_type,status,valid_from,valid_until,precondition_note
77,23280,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
108,23292,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
106,23291,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
111,23294,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
1298,23297,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
116,23296,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
97,23290,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
79,23281,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
80,23282,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
81,23283,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
91,23286,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
84,23284,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
114,23298,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
85,23285,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
94,23287,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication. Current fixtures contain 2 venue variants; the dominant current home has 17 fixtures.
95,23288,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
96,23289,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
110,23293,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
3012,23040,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
1299,23037,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
99,23028,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
89,23025,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
1304,23039,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
101,23029,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
90,23026,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
433,23034,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
112,23032,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
82,23023,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
102,23030,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
83,23024,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
1297,23036,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
104,23031,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
93,23027,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
1301,23038,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
1063,23035,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
115,23033,HOME,CURRENT,,,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
