editorial_subject,category,canonical_subject_ids,provider_identity,resolution_type,current_status,proposed_action,evidence_provenance_status,exception_note
Paris Saint-Germain — Marseille,SIGNIFICANT_RIVALRY,"[81, 85]","[81, 85]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Lyon — Saint-Étienne,SIGNIFICANT_RIVALRY,"[80, 1063]","[80, 1063]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Lens — Lille,SIGNIFICANT_RIVALRY,"[79, 116]","[79, 116]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Monaco — Nice,SIGNIFICANT_RIVALRY,"[84, 91]","[84, 91]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Nantes — Rennes,SIGNIFICANT_RIVALRY,"[83, 94]","[83, 94]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Bordeaux — Toulouse,SIGNIFICANT_RIVALRY,[],[],GENUINE_NOT_IN_CURRENT_INVENTORY,DORMANT,DORMANT_NO_WRITE,APPROVED_CATALOGUE_PROVENANCE_RETAINED,One or both teams are absent from current fixtures
Marseille — Lyon,SIGNIFICANT_RIVALRY,"[80, 81]","[80, 81]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Paris Saint-Germain — Paris FC,SIGNIFICANT_RIVALRY,"[85, 114]","[85, 114]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Metz — Nancy,SIGNIFICANT_RIVALRY,"[102, 112]","[102, 112]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Metz — Strasbourg,SIGNIFICANT_RIVALRY,"[95, 112]","[95, 112]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Montpellier — Nîmes,SIGNIFICANT_RIVALRY,[],[],GENUINE_NOT_IN_CURRENT_INVENTORY,DORMANT,DORMANT_NO_WRITE,APPROVED_CATALOGUE_PROVENANCE_RETAINED,One or both teams are absent from current fixtures
Bastia — Ajaccio,SIGNIFICANT_RIVALRY,[],[],GENUINE_NOT_IN_CURRENT_INVENTORY,DORMANT,DORMANT_NO_WRITE,APPROVED_CATALOGUE_PROVENANCE_RETAINED,One or both teams are absent from current fixtures
Caen — Le Havre,SIGNIFICANT_RIVALRY,"[88, 111]","[88, 111]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Le Havre — Rouen,SIGNIFICANT_RIVALRY,"[111, 3221]","[111, 3221]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Auxerre — Dijon,SIGNIFICANT_RIVALRY,"[89, 108]","[89, 108]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Reims — Sedan,SIGNIFICANT_RIVALRY,[],[],GENUINE_NOT_IN_CURRENT_INVENTORY,DORMANT,DORMANT_NO_WRITE,APPROVED_CATALOGUE_PROVENANCE_RETAINED,One or both teams are absent from current fixtures
Nice — Cannes,SIGNIFICANT_RIVALRY,"[84, 9932]","[84, 9932]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Marseille — Toulon,SIGNIFICANT_RIVALRY,[],[],GENUINE_NOT_IN_CURRENT_INVENTORY,DORMANT,DORMANT_NO_WRITE,APPROVED_CATALOGUE_PROVENANCE_RETAINED,One or both teams are absent from current fixtures
