canonical_team_id,canonical_team_name,provider_team_id,canonical_venue_id,canonical_venue_name,provider_venue_id,club_venue_id,relationship_type,relationship_status,competition,country,editorial_subject,display_name,supporting_line,maps_destination,classification,audience,pre_match_status,business_status,pre_match_confidence,display_order,btm_evidence_url,btm_evidence_classification,ticket_url,ticket_description,ticket_evidence_url,ticket_section,ticket_topic,ticket_source_type,ticket_status,ticket_confidence,entry_description,entry_evidence_url,entry_section,entry_topic,entry_source_type,publication_status,intentional_null,exception_review_note
77,Angers,77,23280,Stade Raymond-Kopa,634,,,,Ligue 1,France,Angers SCO,Raymond-Kopa Fan Zone,Recurring official pre-match fan zone beside the stadium.,"Raymond-Kopa Fan Zone, Stade Raymond-Kopa, Angers, France",CLUB_MATCHDAY_VENUE,HOME,CURRENT,NOT_APPLICABLE,HIGH,1,,OFFICIAL,https://billetterie.angers-sco.fr/fr,Buy tickets through Angers SCO's official ticket route.,https://billetterie.angers-sco.fr/fr,tickets_entry,Tickets,official,current,high,,,,,,TECHNICAL_PRECONDITION / MISSING_CURRENT_HOME,False,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
108,Auxerre,108,23292,Stade de l'Abbé Deschamps,636,,,,Ligue 1,France,AJ Auxerre,,,,,,,,,,,,https://billetterie.aja.fr/,Buy tickets through AJ Auxerre's official ticket route.,https://billetterie.aja.fr/,tickets_entry,Tickets,official,current,high,,,,,,TECHNICAL_PRECONDITION / MISSING_CURRENT_HOME,True,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
106,Stade Brestois 29,106,23291,Stade Francis-Le Blé,641,,,,Ligue 1,France,Stade Brestois 29,Le Penalty,Supporter bar directly opposite the ground.,"Le Penalty, 35 route de Quimper, 29200 Brest, France",SUPPORTER_SPOT,HOME,CURRENT,NOT_APPLICABLE,HIGH,1,,EDITORIAL_RESEARCH,https://billetterie.sb29.bzh/,Buy tickets through Stade Brestois 29's official ticket route.,https://billetterie.sb29.bzh/,tickets_entry,Tickets,official,current,high,,,,,,TECHNICAL_PRECONDITION / MISSING_CURRENT_HOME,False,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
111,Le Havre,111,23294,Stade Océane,652,,,,Ligue 1,France,Le Havre AC,LH Club / west forecourt,Official recurring pre-match supporter environment at the stadium.,"LH Club / west forecourt, Stade Océane, Le Havre, France",CLUB_MATCHDAY_VENUE,HOME,CURRENT,NOT_APPLICABLE,HIGH,1,,OFFICIAL,https://billetterie.hac.football/,Buy tickets through Le Havre AC's official ticket route.,https://billetterie.hac.football/,tickets_entry,Tickets,official,current,high,,,,,,TECHNICAL_PRECONDITION / MISSING_CURRENT_HOME,False,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
1298,Le Mans,1298,23297,Stade Marie-Marvingt,19206,,,,Ligue 1,France,Le Mans FC,Stade Marie-Marvingt Fan Zone,Recurring official pre-match fan zone on the stadium parvis.,"Stade Marie-Marvingt Fan Zone, Stade Marie-Marvingt, Le Mans, France",CLUB_MATCHDAY_VENUE,HOME,CURRENT,NOT_APPLICABLE,HIGH,1,,OFFICIAL,https://billetterie.lemansfc.fr/fr,Buy tickets through Le Mans FC's official ticket route.,https://billetterie.lemansfc.fr/fr,tickets_entry,Tickets,official,current,high,,,,,,TECHNICAL_PRECONDITION / MISSING_CURRENT_HOME,False,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
116,Lens,116,23296,Stade Bollaert-Delelis,654,,,,Ligue 1,France,RC Lens,La Loco,Long-established Lens supporter meeting point near the station.,"La Loco, 105 Rue Létienne, 62300 Lens, France",SUPPORTER_SPOT,HOME,CURRENT,NOT_APPLICABLE,HIGH,1,,EDITORIAL_RESEARCH,https://billetterie.rclens.fr/,Buy tickets through RC Lens's official ticket route.,https://billetterie.rclens.fr/,tickets_entry,Tickets,official,current,high,,,,,,TECHNICAL_PRECONDITION / MISSING_CURRENT_HOME,False,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
97,Lorient,97,23290,Stade du Moustoir - Yves Allainmat,21430,,,,Ligue 1,France,FC Lorient,Moustoir Fan Zone,Recurring official pre-match supporter environment at the stadium.,"Moustoir Fan Zone, Stade du Moustoir - Yves Allainmat, Lorient, France",CLUB_MATCHDAY_VENUE,HOME,CURRENT,NOT_APPLICABLE,HIGH,1,,OFFICIAL,https://billetterie.fclorient.bzh/fr/,Buy tickets through FC Lorient's official ticket route.,https://billetterie.fclorient.bzh/fr/,tickets_entry,Tickets,official,current,high,,,,,,TECHNICAL_PRECONDITION / MISSING_CURRENT_HOME,False,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
79,Lille,79,23281,Decathlon Arena - Stade Pierre-Mauroy,22783,,,,Ligue 1,France,LOSC Lille,,,,,,,,,,,,https://billetterie.losc.fr/,Buy tickets through LOSC Lille's official ticket route.,https://billetterie.losc.fr/,tickets_entry,Tickets,official,current,high,,,,,,TECHNICAL_PRECONDITION / MISSING_CURRENT_HOME,True,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
80,Lyon,80,23282,Groupama Stadium,666,,,,Ligue 1,France,Olympique Lyonnais,,,,,,,,,,,,https://billetterie.ol.fr/fr,Buy tickets through Olympique Lyonnais's official ticket route.,https://billetterie.ol.fr/fr,tickets_entry,Tickets,official,current,high,,,,,,TECHNICAL_PRECONDITION / MISSING_CURRENT_HOME,True,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
81,Marseille,81,23283,Stade Orange Vélodrome,12678,,,,Ligue 1,France,Olympique de Marseille,,,,,,,,,,,,https://billetterie.om.fr/,Buy tickets through Olympique de Marseille's official ticket route.,https://billetterie.om.fr/,tickets_entry,Tickets,official,current,high,,,,,,TECHNICAL_PRECONDITION / MISSING_CURRENT_HOME,True,Prepare deterministic CURRENT/HOME club_venues relationship before publication.
