editorial_subject,category,canonical_subject_ids,provider_identity,resolution_type,current_status,proposed_action,evidence_provenance_status,exception_note
Real Madrid — Barcelona,SIGNIFICANT_RIVALRY,"[529, 541]","[529, 541]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,El Clásico
Real Madrid — Atlético Madrid,SIGNIFICANT_RIVALRY,"[530, 541]","[530, 541]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Madrid Derby
Barcelona — Espanyol,SIGNIFICANT_RIVALRY,"[529, 540]","[529, 540]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Barcelona Derby
Sevilla — Real Betis,SIGNIFICANT_RIVALRY,"[536, 543]","[536, 543]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Seville Derby
Athletic Club — Real Sociedad,SIGNIFICANT_RIVALRY,"[531, 548]","[531, 548]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Basque Derby
Sporting Gijón — Real Oviedo,SIGNIFICANT_RIVALRY,"[718, 731]","[718, 731]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Asturian Derby
Celta Vigo — Deportivo La Coruña,SIGNIFICANT_RIVALRY,"[538, 544]","[538, 544]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Galician Derby
Valencia — Levante,SIGNIFICANT_RIVALRY,"[532, 539]","[532, 539]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Valencia Derby
Villarreal — Valencia,SIGNIFICANT_RIVALRY,"[532, 533]","[532, 533]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Valencian rivalry
Real Betis — Cádiz,SIGNIFICANT_RIVALRY,"[543, 724]","[543, 724]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Andalusian rivalry
Málaga — Granada,SIGNIFICANT_RIVALRY,"[535, 715]","[535, 715]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Andalusian rivalry
