venue_id,name,address,city,country,capacity,latitude,longitude
566,Wembley Stadium,"Wembley, London HA9 0WS",London,England,90000,51.5560695,-0.2796034
556,Old Trafford,Sir Matt Busby Way,Manchester,England,76212,53.4631096,-2.2913865
562,St. James' Park,St. James&apos; Street,Newcastle upon Tyne,England,52758,,
504,Vitality Stadium,"Dean Court, Kings Park","Bournemouth, Dorset",England,12000,,
535,Craven Cottage,Stevenage Road,London,England,29589,51.4749218,-0.2217448
543,John Smith's Stadium,Stadium Way,"Huddersfield, West Yorkshire",England,24554,53.6543494,-1.7682999
596,Vicarage Road,Vicarage Road,Watford,England,22200,51.6497590,-0.4013489
600,Molineux Stadium,Waterloo Road,"Wolverhampton, West Midlands",England,34624,52.5902723,-2.1304079
550,Anfield,Anfield Road,Liverpool,England,61276,53.4309011,-2.9609719
585,St. Mary's Stadium,Britannia Road,"Southampton, Hampshire",England,32689,,
494,Emirates Stadium,Hornsey Road,London,England,60383,,
512,Turf Moor,Harry Potts Way,Burnley,England,22546,53.7893606,-2.2298547
22033,Hill Dickinson Stadium,"35 Regent Road, Bramley-Moore Dock, Vauxhall","Liverpool, Merseyside",England,52888,,
547,King Power Stadium,Filbert Way,"Leicester, Leicestershire",England,34310,,
593,Tottenham Hotspur Stadium,"Bill Nicholson Way, 748 High Road",London,England,62850,,
598,London Stadium,"Marshgate Lane, Stratford",London,England,64472,,
519,Stamford Bridge,Fulham Road,London,England,41841,51.4811343,-0.1900941
555,Etihad Stadium,Rowsley Street,Manchester,England,55097,53.4821220,-2.2035420
508,American Express Stadium,Village Way,"Falmer, East Sussex",England,31872,50.8615471,-0.0836931
525,Selhurst Park,Holmesdale Road,London,England,26309,,
12052,Select Car Leasing Stadium,"Shooters Way / Junction 11, M4","Reading, Berkshire",England,24200,,
12596,St Andrew's Stadium,St. Andrew&apos;s Road,Birmingham,England,30009,,
10503,Gtech Community Stadium,"166 Lionel Rd N, Brentford","Brentford, Middlesex",England,17250,,
20106,Ashton Gate Stadium,Ashton Road,Bristol,England,27000,51.4398694,-2.6203405
545,Portman Road,Portman Road,"Ipswich, Suffolk",England,30311,52.0559733,1.1461406
559,The Den,"Zampa Road, Bermondsey",London,England,20146,51.4859656,-0.0509103
574,Deepdale,Deepdale Road,Preston,England,23408,53.7710364,-2.6907362
597,The Hawthorns,Halfords Lane,West Bromwich,England,28003,,
599,DW Stadium,"Robin Park, Loire Drive",Wigan,England,25138,,
581,Bramall Lane,Bramall Lane,Sheffield,England,32702,53.3703429,-1.4707145
546,Elland Road,Elland Road,"Leeds, West Yorkshire",England,40204,53.7671529,-1.5778028
12051,The MKM Stadium,Walton Street / Anlaby Road,Hull,England,25504,,
495,Villa Park,Trinity Road,Birmingham,England,42824,52.5091264,-1.8850354
500,Ewood Park,Nuttall Street,"Blackburn, Lancashire",England,31367,53.7285283,-2.4892251
19923,Toughsheet Community Stadium,Burnden Way,Bolton,England,28723,53.5805396,-2.5356648
527,Pride Park Stadium,"Pride Park, Royal Way",Derby,England,33597,52.9140328,-1.4474309
558,Riverside Stadium,Dockside Road,Middlesbrough,England,34988,,
565,Carrow Road,Carrow Road,"Norwich, Norfolk",England,27606,52.6220315,1.3093222
20414,MATRADE Loftus Road,"South Africa Road, Shepherd&apos;s Bush",London,England,18360,,
578,AESSEAL New York Stadium,Don Street,"Rotherham, South Yorkshire",England,12021,,
582,Hillsborough,"Penistone Road North, Hillsborough",Sheffield,England,39814,53.4113790,-1.5006311
588,bet365 Stadium,Stanley Matthews Way,"Stoke-on-Trent, Staffordshire",England,30089,,
589,Stadium of Light,Millenium Way,Sunderland,England,49000,,
497,Oakwell,Grove Street,"Barnsley, South Yorkshire",England,23009,53.5522037,-1.4676968
513,Pirelli Stadium,Princess Way,"Burton-upon-Trent, Staffordshire",England,6912,,
12456,The Cherry Red Records Stadium,"Plough Lane, Wimbledon",London,England,9300,,
510,Memorial Stadium,"Filton Avenue, Horfield","Bristol, Gloucestershire",England,11916,,
518,The Valley,"Floyd Road, Charlton",London,England,27111,51.4863915,0.0361585
533,Highbury Stadium,Park Avenue,"Fleetwood, Lancashire",England,5327,53.9163970,-3.0246936
11881,Sixfields Stadium,Upton Way,"Northampton, East Midlands",England,7798,,
569,The Kassam Stadium,Grenoble Road,"Oxford, Oxfordshire",England,12500,,
577,Crown Oil Arena,Sandy Lane,"Rochdale, Greater Manchester",England,10249,53.6207953,-2.1799129
21312,Attis Arena,Doncaster Road,Scunthorpe,England,9088,,
586,Roots Hall,"Victoria Avenue, Prittlewell","Southend-on-Sea, Essex",England,12392,,
18620,Poundland Bescot Stadium,"Bescot Crescent, Bescot","Walsall, West Midlands",England,11300,52.5655014,-1.9904976
19198,University of Bradford Stadium,Valley Parade,"Bradford, West Yorkshire",England,25136,53.8043367,-1.7593645
514,Gigg Lane,Gigg Lane,"Bury, Lancashire",England,11840,,
19924,SMH Group Stadium,"1866 Sheffield Road, Whittington Moor","Chesterfield, Derbyshire",England,10338,53.2535581,-1.4258193
11896,The Coventry Building Society Arena,"Phoenix Way, Rowleys Green","Coventry, West Midlands",England,32609,,
537,Priestfield Stadium,Redfern Avenue,"Gillingham, Kent",England,11582,,
560,Stadium mk,Stadium Way West,"Milton Keynes, Buckinghamshire",England,30500,,
568,Boundary Park,"Furtherwood Road, Royton","Oldham, Greater Manchester",England,10638,53.5552236,-2.1283398
